"province_name","district","year","week","weekly_dengue_cases","weekly_diarrhea_cases","population","rainsum","meantemperature","max_temperature","min_temperature","rainsum_std"
"15 Xekong",15,2019,1,0,70,126998,0,25.1,32.0833333333333,18.0833333333333,-0.54871065537988
"15 Xekong",15,2019,2,2,86,126998,0,26.0428571428571,33.9714285714286,18.0857142857143,-0.54871065537988
"15 Xekong",15,2019,3,3,72,126998,0,25.1142857142857,32.9571428571429,17.2428571428571,-0.54871065537988
"15 Xekong",15,2019,4,3,87,126998,0,23.5428571428571,31.8,15.2571428571429,-0.54871065537988
"15 Xekong",15,2019,5,4,137,126998,0,25.2285714285714,34.0714285714286,16.3142857142857,-0.54871065537988
"15 Xekong",15,2019,6,9,159,126998,0,28.6285714285714,36.3714285714286,20.8142857142857,-0.54871065537988
"15 Xekong",15,2019,7,2,143,126998,0,26.3428571428571,34.9857142857143,17.6571428571429,-0.54871065537988
"15 Xekong",15,2019,8,4,143,126998,0,28.8571428571429,36.3857142857143,21.2571428571429,-0.54871065537988
"15 Xekong",15,2019,9,0,107,126998,0,29.3571428571429,36.7714285714286,21.8714285714286,-0.54871065537988
"15 Xekong",15,2019,10,9,100,126998,0,28.9142857142857,35.9,21.8714285714286,-0.54871065537988
"15 Xekong",15,2019,11,3,120,126998,0.1,29.4857142857143,36.6428571428571,22.2857142857143,-0.54709910557616
"15 Xekong",15,2019,12,8,104,126998,0,30.2857142857143,37.5142857142857,22.9714285714286,-0.54871065537988
"15 Xekong",15,2019,13,3,80,126998,6.2,30.1714285714286,35.7571428571429,24.5285714285714,-0.448794567549239
"15 Xekong",15,2019,14,3,92,126998,7,29.5428571428571,35.5,23.5571428571429,-0.435902169119479
"15 Xekong",15,2019,15,5,105,126998,2.6,31.5142857142857,38.2,24.7714285714286,-0.50681036048316
"15 Xekong",15,2019,16,3,88,126998,4,31.3285714285714,37.2714285714286,25.3285714285714,-0.484248663231079
"15 Xekong",15,2019,17,5,142,126998,0,32.3,39.6571428571429,24.8857142857143,-0.54871065537988
"15 Xekong",15,2019,18,2,119,126998,26.2,30.9142857142857,37.5571428571429,24.2428571428571,-0.126484606805234
"15 Xekong",15,2019,19,8,55,126998,123.4,28.8428571428571,33.6857142857143,23.9428571428571,1.43994180241063
"15 Xekong",15,2019,20,9,40,126998,0,30.5,35.4428571428571,25.4857142857143,-0.54871065537988
"15 Xekong",15,2019,21,5,91,126998,40.6,29.3714285714286,34.1857142857143,24.5,0.105578564930449
"15 Xekong",15,2019,22,12,33,126998,28.2,29.0142857142857,33.4,24.5714285714286,-0.0942536107308335
"15 Xekong",15,2019,23,19,33,126998,4.7,30.1857142857143,35.7,24.6428571428571,-0.472967814605039
"15 Xekong",15,2019,24,31,82,126998,12.8,29.5857142857143,34.0285714285714,25.1142857142857,-0.342432280503717
"15 Xekong",15,2019,25,20,102,126998,6.9,30.6142857142857,36.2714285714286,24.9,-0.437513718923199
"15 Xekong",15,2019,26,32,87,126998,5.6,29.6428571428571,33.9,25.3428571428571,-0.458463866371559
"15 Xekong",15,2019,27,53,62,126998,121,26.3428571428571,29.0285714285714,23.5857142857143,1.40126460712135
"15 Xekong",15,2019,28,48,71,126998,6.5,28.2714285714286,32.0857142857143,24.4,-0.443959918138079
"15 Xekong",15,2019,29,61,80,126998,17.2,28.7285714285714,32.8571428571429,24.5428571428571,-0.271524089140036
"15 Xekong",15,2019,30,43,80,126998,130.5,26.7285714285714,30.3571428571429,23.0428571428571,1.55436183847475
"15 Xekong",15,2019,31,59,64,126998,121.8,25.4714285714286,27.6142857142857,23.2857142857143,1.41415700555111
"15 Xekong",15,2019,32,31,53,126998,62.5,27.6857142857143,31.2142857142857,24.0857142857143,0.458507971945135
"15 Xekong",15,2019,33,40,64,126998,20.2,27.8285714285714,31.0571428571429,24.5285714285714,-0.223177595028435
"15 Xekong",15,2019,34,36,66,126998,38.3,26.8,29.8857142857143,23.6714285714286,0.0685129194448888
"15 Xekong",15,2019,35,19,63,126998,202.3,27.1428571428571,30.6714285714286,23.5428571428571,2.71145459754573
"15 Xekong",15,2019,36,13,32,126998,292.9,25.7142857142857,27.8142857142857,23.5857142857143,4.17151871971607
"15 Xekong",15,2019,37,32,52,126998,15.4,27.9285714285714,32.4142857142857,23.4285714285714,-0.300531985606997
"15 Xekong",15,2019,38,22,84,126998,49.6,28.1571428571429,32.5714285714286,23.7,0.250618047265251
"15 Xekong",15,2019,39,18,58,126998,0.1,28.2714285714286,34.5714285714286,21.9285714285714,-0.54709910557616
"15 Xekong",15,2019,40,24,57,126998,43.8,27.9714285714286,33.3714285714286,22.5571428571429,0.15714815864949
"15 Xekong",15,2019,41,15,56,126998,23,28.4428571428571,34.3857142857143,22.4428571428571,-0.178054200524275
"15 Xekong",15,2019,42,12,77,126998,0,28.3,34.2285714285714,22.3285714285714,-0.54871065537988
"15 Xekong",15,2019,43,5,41,126998,1.6,28.6857142857143,35.1714285714286,22.1571428571429,-0.52292585852036
"15 Xekong",15,2019,44,4,46,126998,33.9,26.8714285714286,31.8142857142857,21.9,-0.00239527191879226
"15 Xekong",15,2019,45,1,45,126998,0,24.7428571428571,30.5142857142857,18.9142857142857,-0.54871065537988
"15 Xekong",15,2019,46,4,53,126998,0,26.4285714285714,32.0428571428571,20.7857142857143,-0.54871065537988
"15 Xekong",15,2019,47,8,41,126998,0,25.7428571428571,33.0571428571429,18.3857142857143,-0.54871065537988
"15 Xekong",15,2019,48,3,43,126998,0,27.0714285714286,32.9142857142857,21.2142857142857,-0.54871065537988
"15 Xekong",15,2019,49,1,84,126998,0,21.0714285714286,27.7571428571429,14.3285714285714,-0.54871065537988
"15 Xekong",15,2019,50,0,75,126998,0,22.4714285714286,31.3285714285714,13.5714285714286,-0.54871065537988
"15 Xekong",15,2019,51,1,42,126998,0,26.3571428571429,34.0571428571429,18.5714285714286,-0.54871065537988
"15 Xekong",15,2019,52,0,45,126998,0,24.6142857142857,33.2571428571429,15.9571428571429,-0.54871065537988
"15 Xekong",15,2019,53,0,4,126998,0,25.3,32.85,17.75,-0.54871065537988
"15 Xekong",15,2020,1,3,213,129401,0,24.65,32.7833333333333,16.4666666666667,-0.54871065537988
