"province_name","district","year","week","weekly_dengue_cases","weekly_diarrhea_cases","population","rainsum","meantemperature","max_temperature","min_temperature","rainsum_std"
"09 Xiangkhouang",9,2024,16,0,251,274365,21.7,26.4142857142857,32.8857142857143,19.9285714285714,-0.154662369501028
"09 Xiangkhouang",9,2024,17,0,283,274365,34.2,25.9428571428571,31.3428571428571,20.5,0.138848615544631
"09 Xiangkhouang",9,2024,18,0,268,274365,13.9,25,30.4571428571429,19.5285714285714,-0.337813224169519
"09 Xiangkhouang",9,2024,19,1,233,274365,10.4,25.7428571428571,31.2285714285714,20.2285714285714,-0.419996299982303
"09 Xiangkhouang",9,2024,20,0,260,274365,51.8,23.5571428571429,28.1714285714286,18.9285714285714,0.552112082488918
"09 Xiangkhouang",9,2024,21,0,205,274365,70.7,25.9571428571429,31.7142857142857,20.1857142857143,0.995900691877954
"09 Xiangkhouang",9,2024,22,0,151,274365,43.3,26.7285714285714,32.1142857142857,21.3,0.35252461265787
"09 Xiangkhouang",9,2024,23,0,149,274365,67.8,25.1428571428571,29.3142857142857,20.9285714285714,0.927806143347361
"09 Xiangkhouang",9,2024,24,1,145,274365,23.8,25.2857142857143,29.2285714285714,21.3428571428571,-0.105352524013357
"09 Xiangkhouang",9,2024,25,0,147,274365,13.3,24.8857142857143,28.8142857142857,20.9285714285714,-0.35190175145171
"09 Xiangkhouang",9,2024,26,0,103,274365,106.6,24.5142857142857,28.3,20.7142857142857,1.83886424092909
"09 Xiangkhouang",9,2024,27,0,163,274365,72.8,25.0571428571429,28.8857142857143,21.1714285714286,1.04521053736562
"09 Xiangkhouang",9,2024,28,2,112,274365,7.4,24.9285714285714,28.8,21.0571428571429,-0.490438936393261
"09 Xiangkhouang",9,2024,29,13,132,274365,25.5,24.7,28.2571428571429,21.0857142857143,-0.0654350300471475
"09 Xiangkhouang",9,2024,30,10,111,274365,40,25.7285714285714,30.3285714285714,21.1,0.275037712605817
"09 Xiangkhouang",9,2024,31,10,117,274365,134.2,23.5714285714286,25.7857142857143,21.3285714285714,2.4869364959099
"09 Xiangkhouang",9,2024,32,6,69,274365,231.9,21.4571428571429,23.2285714285714,19.6428571428571,4.78101835502677
"10 Vientiane",10,2024,14,2,171,479372,0,30.0428571428571,37.6142857142857,NA,-0.709448618398253
"10 Vientiane",10,2024,15,14,139,479372,0,31.7285714285714,38,25.4,-0.709448618398253
"10 Vientiane",10,2024,16,21,232,479372,1,32.5714285714286,39.3571428571429,25.7571428571429,-0.691191835315631
"10 Vientiane",10,2024,17,13,140,479372,15.9,31.2857142857143,37.9714285714286,24.5857142857143,-0.419165767384562
"10 Vientiane",10,2024,18,4,137,479372,3.4,31.4142857142857,37.2285714285714,25.5428571428571,-0.647375555917338
"10 Vientiane",10,2024,19,16,149,479372,96.9,31.8571428571429,37.4571428571429,26.2285714285714,1.05963366230782
"10 Vientiane",10,2024,20,29,94,479372,147.1,29.5714285714286,34.0142857142857,25.0857142857143,1.97612417305545
"10 Vientiane",10,2024,21,16,119,479372,19,31.9142857142857,37.6571428571429,26.1285714285714,-0.362569739828434
"10 Vientiane",10,2024,22,29,93,479372,14.1,30.7142857142857,35.4714285714286,25.9142857142857,-0.452027976933282
"10 Vientiane",10,2024,23,68,118,479372,115.7,28.9428571428571,33.1857142857143,24.6857142857143,1.40286118426112
"10 Vientiane",10,2024,24,49,99,479372,49.1,28.9714285714286,32.5571428571429,25.3428571428571,0.18695943095849
"10 Vientiane",10,2024,25,106,122,479372,74.9,29.4714285714286,33.1,25.8285714285714,0.657984434490139
"10 Vientiane",10,2024,26,108,106,479372,181.6,28.9428571428571,32.4,25.4142857142857,2.60598318940591
"10 Vientiane",10,2024,27,114,103,479372,81.7,28.9571428571429,32.5857142857143,25.3,0.782130559451969
"10 Vientiane",10,2024,28,101,86,479372,24.7,29.2857142857143,33.0571428571429,25.4857142857143,-0.258506076257488
"10 Vientiane",10,2024,29,116,67,479372,18.4,29.5571428571429,33.2714285714286,25.7857142857143,-0.373523809678007
"10 Vientiane",10,2024,30,150,89,479372,88.2,30.0571428571429,34.5857142857143,25.5,0.900799649489013
"10 Vientiane",10,2024,31,111,80,479372,135.1,27.5142857142857,29.7428571428571,25.2714285714286,1.75704277606399
"10 Vientiane",10,2024,32,85,85,479372,182.7,26.1857142857143,28.2571428571429,24.1,2.6260656507968
"11 Bolikhamxai",11,2024,14,2,113,330744,16.6,30.3142857142857,37.3142857142857,23.2857142857143,-0.460680850600932
"11 Bolikhamxai",11,2024,15,1,99,330744,11.5,31.0142857142857,36.4,25.5571428571429,-0.516829579336924
"11 Bolikhamxai",11,2024,16,12,130,330744,0,31.3857142857143,37.5571428571429,25.1571428571429,-0.64343945785926
"11 Bolikhamxai",11,2024,17,4,142,330744,13.2,30.6142857142857,37.2,23.9714285714286,-0.498113336424927
"11 Bolikhamxai",11,2024,18,6,139,330744,18.6,30.8285714285714,36.9,24.7285714285714,-0.4386617412927
"11 Bolikhamxai",11,2024,19,24,111,330744,58.6,31.5571428571429,37.7285714285714,25.3428571428571,0.00172044487194517
"11 Bolikhamxai",11,2024,20,22,104,330744,34.2,29.4285714285714,34.5,24.2857142857143,-0.266912688688488
"11 Bolikhamxai",11,2024,21,29,93,330744,159.3,30.5,37.0857142857143,23.8571428571429,1.11038259854144
"11 Bolikhamxai",11,2024,22,41,64,330744,67.7,30.6857142857143,35.7714285714286,25.5285714285714,0.101907392224402
"11 Bolikhamxai",11,2024,23,50,66,330744,185,28.8428571428571,33.3714285714286,24.2285714285714,1.39332815315222
"11 Bolikhamxai",11,2024,24,61,95,330744,46.2,28.6428571428571,32.5142857142857,24.7142857142857,-0.134798032839095
"11 Bolikhamxai",11,2024,25,87,62,330744,121.1,28.4571428571429,32.1857142857143,24.6714285714286,0.689817610754203
"11 Bolikhamxai",11,2024,26,72,67,330744,117.5,28,31.6428571428571,24.2857142857143,0.650183213999385
"11 Bolikhamxai",11,2024,27,87,76,330744,47.3,28.4142857142857,32.3571428571429,24.4428571428571,-0.122687522719567
"11 Bolikhamxai",11,2024,28,110,63,330744,160.8,29.0428571428571,33.2142857142857,24.8285714285714,1.12689693052261
"11 Bolikhamxai",11,2024,29,152,72,330744,122.8,28.5,32.4428571428571,24.5285714285714,0.708533853666201
"11 Bolikhamxai",11,2024,30,148,58,330744,162.8,29.7142857142857,34.3857142857143,24.9857142857143,1.14891603983085
"11 Bolikhamxai",11,2024,31,78,37,330744,577.1,26.2571428571429,28.1,24.3714285714286,5.71017453303116
"11 Bolikhamxai",11,2024,32,91,30,330744,119.1,26.1857142857143,28.0571428571429,24.3142857142857,0.667798501445971
"12 Khammouan",12,2024,14,16,81,451329,22.5,31.1428571428571,36.5857142857143,NA,-0.289740307243654
"12 Khammouan",12,2024,15,23,62,451329,0,31.5714285714286,36.5714285714286,26.5285714285714,-0.608012252397529
"12 Khammouan",12,2024,16,29,92,451329,0,32.8142857142857,37.6571428571429,27.9428571428571,-0.608012252397529
"12 Khammouan",12,2024,17,79,63,451329,1.7,31.8,37.7714285714286,25.7714285714286,-0.58396503876368
"12 Khammouan",12,2024,18,65,66,451329,4.1,31.9857142857143,37.6571428571429,26.2857142857143,-0.5500160312806
"12 Khammouan",12,2024,19,63,52,451329,81.2,31.2428571428571,36.8857142857143,25.5428571428571,0.540595834113344
"12 Khammouan",12,2024,20,52,50,451329,1.5,30.6285714285714,34.9142857142857,26.3,-0.586794122720604
"12 Khammouan",12,2024,21,47,69,451329,10.4,31.4285714285714,36.2428571428571,26.6142857142857,-0.460899886637515
"12 Khammouan",12,2024,22,100,68,451329,6.7,31.0714285714286,35.8,26.3,-0.513237939840597
"12 Khammouan",12,2024,23,95,44,451329,151.8,29.7571428571429,33.9,25.5571428571429,1.53926247090728
"12 Khammouan",12,2024,24,137,51,451329,48.9,29.3,32.8714285714286,25.7142857142857,0.0836987750702259
"12 Khammouan",12,2024,25,173,54,451329,73.9,29,32.4714285714286,25.4857142857143,0.437334269685642
"12 Khammouan",12,2024,26,266,53,451329,43.3,29.3571428571429,32.5571428571429,26.0857142857143,0.00448442427637256
"12 Khammouan",12,2024,27,341,47,451329,265.6,28.6428571428571,32.5714285714286,24.6714285714286,3.14901124239666
"12 Khammouan",12,2024,28,372,62,451329,26.4,30.0857142857143,34.1,26.0285714285714,-0.234573170083649
"12 Khammouan",12,2024,29,389,57,451329,52.2,28.9285714285714,32.5857142857143,25.2428571428571,0.130378660359461
"12 Khammouan",12,2024,30,334,37,451329,100.9,29.3571428571429,33.9285714285714,24.7285714285714,0.819260603870292
"12 Khammouan",12,2024,31,243,35,451329,323.9,25.9285714285714,28.1571428571429,23.6714285714286,3.97368921583981
"12 Khammouan",12,2024,32,199,57,451329,260.7,27,29.3,24.7142857142857,3.07969868545203
"13 Savannakhet",13,2024,14,8,228,1117489,0,32.2571428571429,37.6714285714286,26.8142857142857,-0.616516622281742
"13 Savannakhet",13,2024,15,9,198,1117489,0,31.8,37.0428571428571,26.5428571428571,-0.616516622281742
"13 Savannakhet",13,2024,16,10,261,1117489,3.4,32.7142857142857,37.9,27.4571428571429,-0.547510330966201
"13 Savannakhet",13,2024,17,12,237,1117489,57.6,30.3857142857143,35.8142857142857,24.8857142857143,0.552531136475656
"13 Savannakhet",13,2024,18,14,179,1117489,4.8,31.5142857142857,36.8857142857143,26.1142857142857,-0.519095975718625
"13 Savannakhet",13,2024,19,18,217,1117489,36.8,31,35.9571428571429,26.0142857142857,0.130375001368818
"13 Savannakhet",13,2024,20,27,171,1117489,10.2,29.8428571428571,34.1,25.5285714285714,-0.409497748335119
"13 Savannakhet",13,2024,21,33,178,1117489,18.2,31.4428571428571,36.0428571428571,26.8,-0.247130004063259
"13 Savannakhet",13,2024,22,37,209,1117489,6.4,31.0428571428571,35.3,26.7285714285714,-0.486622426864253
